 Produced by pyWiTRACK Experimental version 1 
        DATE INDEX  SIZE     AREA     LON     LAT   RADIUS   MEANV    STDV    MINV    MAXV  LONMAX  LATMAX      SSIan
Event: 201700021 Start:   2017010106 Length: 11 Area:      61.863 SSIarea:      0.05203
  2017010618   194   846   56.782  -30.38   29.25   659.81   13.35    1.08   11.17   15.99  -30.75   30.75    0.12659
  2017010700   194   584   38.882  -31.75   29.60   611.09   13.78    1.11   11.26   15.59  -31.75   29.75    0.10835
  2017010706   194   743   50.247  -32.81   28.35   655.69   13.16    1.07   11.07   15.01  -32.50   31.50    0.09469
  2017010712   194   633   42.672  -34.06   28.17   879.44   12.88    0.74   11.03   14.30  -28.50   34.25    0.02630
  2017010718   194   731   49.614  -34.47   27.86   721.44   12.89    0.84   10.97   14.30  -31.00   32.25    0.06343
  2017010800   194   494   33.548  -32.99   28.90   731.30   12.31    0.76   10.95   13.79  -32.00   31.25    0.00652
  2017010806   194   193   13.070  -33.16   28.73   336.23   12.21    0.46   11.28   12.95  -32.50   30.25    0.00093
  2017010812   194   385   25.988  -32.93   29.79   652.01   12.42    0.81   11.06   13.98  -32.00   32.75    0.00202
  2017010818   194   228   15.247  -33.34   30.33   341.03   12.71    0.56   11.56   13.66  -33.00   31.75    0.00076
  2017010900   194   145    9.698  -35.54   29.14   479.92   12.78    0.59   11.56   13.88  -35.00   32.50    0.00055
  2017010906   194    71    4.810  -37.11   29.35   319.44   12.29    0.45   11.39   13.19  -37.00   29.75    0.00023
Event: 201700281 Start:   2017010600 Length: 10 Area:     104.179 SSIarea:      0.30255
  2017010600   281   100    4.496  -60.61   54.46   220.87   10.67    1.53    7.58   14.87  -63.50   54.00    0.00171
  2017010606   281   757   33.403  -61.97   55.07   762.15   13.60    3.63    7.07   20.24  -58.00   56.00    0.04301
  2017010612   281  1728   76.939  -61.42   54.77   978.50   15.49    3.72    6.96   21.69  -58.75   55.75    0.12319
  2017010618   281  1775   78.272  -62.08   54.80  1068.01   16.40    3.56    6.89   21.13  -49.25   55.00    0.12200
  2017010700   281   775   33.074  -54.22   56.36   629.26   17.80    2.57    8.75   20.76  -50.50   54.25    0.00631
  2017010706   281   118    4.758  -61.97   59.18   331.02   14.03    5.24    4.31   20.51  -61.75   59.25    0.00388
  2017010712   281    40    1.668  -63.29   57.64   167.07   10.19    2.47    6.65   15.41  -64.00   57.50    0.00006
  2017010718   281    74    2.888  -60.65   59.62   177.14   18.33    0.71   16.68   19.61  -60.75   59.75    0.00068
  2017010800   281   170    6.634  -58.54   59.64   321.42   17.98    1.86    5.86   19.88  -57.00   59.50    0.00145
  2017010806   281    73    2.894  -55.83   59.36   207.83   18.43    0.35   17.57   19.26  -56.50   59.50    0.00026
Event: 201700283 Start:   2017010600 Length: 13 Area:      60.344 SSIarea:      1.82011
  2017010600   283   123    6.648   26.94   45.11   241.31    7.31    0.97    4.93   10.27   27.00   45.00    0.04039
  2017010606   283   362   19.714   27.50   44.61   367.88    9.44    3.18    3.20   17.65   29.00   44.25    0.61088
  2017010612   283   511   27.689   28.19   45.09   548.56    9.68    3.51    3.78   18.86   29.25   44.50    0.43154
