Year,Month,TC number,Time step,Basin ID,Latitude,Longitude,Minimum pressure,Maximum wind speed,Radius to maximum winds,Category,Landfall,Distance to land
0.0,10.0,0.0,47.0,1.0,17.6,276.9,951.2,46.1,27.7800006866,3.0,0.0,239.071996054
0.0,10.0,0.0,48.0,1.0,17.7,276.4,955.7,43.8,28.8694123661,3.0,0.0,223.379462217
0.0,10.0,0.0,49.0,1.0,17.7,276.0,958.5,42.3,29.9588240455,2.0,0.0,211.923539936
0.0,10.0,0.0,50.0,1.0,17.7,275.6,967.0,37.6,31.048235725,2.0,0.0,201.997380577
0.0,10.0,0.0,51.0,1.0,17.7,275.2,973.5,33.8,32.1376474044,1.0,0.0,176.933222369
0.0,10.0,0.0,52.0,1.0,17.6,274.9,977.2,31.6,33.2270590838,1.0,0.0,147.634257125
0.0,10.0,0.0,53.0,1.0,17.5,274.6,981.0,29.2,34.3164707633,1.0,0.0,121.473920888
0.0,10.0,0.0,54.0,1.0,17.5,274.3,982.8,28.0,35.4058824427,0.0,0.0,111.555163601
0.0,10.0,0.0,55.0,1.0,17.5,273.8,983.4,27.7,36.4952941221,0.0,0.0,115.390661847
0.0,10.0,0.0,56.0,1.0,17.4,273.4,980.2,29.7,37.5847058016,1.0,0.0,109.673191508
0.0,10.0,0.0,57.0,1.0,17.4,272.8,980.9,29.4,38.674117481,1.0,0.0,64.0841121961
0.0,10.0,0.0,58.0,1.0,17.3,272.3,984.0,27.4,39.7635291604,0.0,0.0,11.5255520187
0.0,10.0,0.0,59.0,1.0,17.2,271.9,984.5,27.1,40.8529408399,0.0,0.0,17.2689906562
0.0,10.0,0.0,60.0,1.0,17.0,271.4,982.9,28.7,41.9423525193,0.0,1.0,0.0
0.0,10.0,0.0,61.0,1.0,16.9,270.9,982.9,28.7453761362,43.0317641988,0.0,1.0,0.0
0.0,10.0,0.0,62.0,1.0,16.8,270.4,989.3,24.3935684108,44.1211758782,0.0,1.0,0.0
0.0,10.0,0.0,63.0,1.0,16.7,269.7,995.0,20.240655717,45.2105875576,0.0,1.0,0.0
0.0,10.0,0.0,64.0,1.0,16.7,269.1,1001.8,14.6265720733,46.2999992371,0.0,1.0,0.0
0.0,8.0,1.0,0.0,1.0,25.4,271.1,997.749144004,18.1084423065,22.2239990234,0.0,0.0,395.244364984
0.0,8.0,1.0,1.0,1.0,26.1,270.6,993.4,21.4,22.2239990234,0.0,0.0,313.312985455
0.0,8.0,1.0,2.0,1.0,26.8,270.1,988.1,25.3,22.2239990234,0.0,0.0,241.632932709
0.0,8.0,1.0,3.0,1.0,27.5,269.6,988.2,25.3,29.8634986877,0.0,0.0,171.899147071
0.0,8.0,1.0,4.0,1.0,28.1,269.2,991.5,22.9,37.5029983521,0.0,0.0,104.391697236
0.0,8.0,1.0,5.0,1.0,28.7,268.9,990.9,23.3,45.1424980164,0.0,0.0,50.8234617159
0.0,8.0,1.0,6.0,1.0,29.2,268.8,990.5,23.6,52.7819976807,0.0,0.0,2.62985450531
0.0,8.0,1.0,7.0,1.0,29.8,269.0,991.5,22.9,60.421497345,0.0,1.0,0.0
0.0,8.0,1.0,8.0,1.0,30.4,269.2,991.5,22.89918899,68.0609970093,0.0,1.0,0.0
0.0,8.0,1.0,9.0,1.0,31.0,269.4,995.6,19.8302398352,75.7004966736,0.0,1.0,0.0
0.0,8.0,1.0,10.0,1.0,31.6,269.6,1000.4,16.0791197235,83.3399963379,0.0,1.0,0.0
0.0,8.0,2.0,0.0,1.0,15.4,297.7,996.916797941,18.1084423065,111.120002747,0.0,0.0,90.4032906992
0.0,8.0,2.0,1.0,1.0,15.4,297.2,994.2,20.2,100.702502489,0.0,0.0,135.826790087
0.0,8.0,2.0,2.0,1.0,15.5,296.7,991.6,22.1,90.2850022316,0.0,0.0,179.080019414
0.0,8.0,2.0,3.0,1.0,15.6,296.2,988.5,24.3,79.8675019741,0.0,0.0,212.079906713
0.0,8.0,2.0,4.0,1.0,15.7,295.6,986.8,25.5,69.4500017166,0.0,0.0,224.688291671
0.0,8.0,2.0,5.0,1.0,15.7,295.1,984.4,27.1,59.0325014591,0.0,0.0,219.224118704
0.0,8.0,2.0,6.0,1.0,15.7,294.7,980.3,29.8,48.6150012016,1.0,0.0,223.703014444
0.0,8.0,2.0,7.0,1.0,15.8,294.3,974.4,33.6,38.1975009441,1.0,0.0,226.339463396
0.0,8.0,2.0,8.0,1.0,15.9,293.9,969.6,36.7,27.7800006866,1.0,0.0,225.347677204
0.0,8.0,2.0,9.0,1.0,16.0,293.4,969.7,36.6,27.7800006866,1.0,0.0,216.827311748
0.0,8.0,2.0,10.0,1.0,16.1,292.9,972.2,35.0,27.7800006866,1.0,0.0,203.349882564
0.0,8.0,2.0,11.0,1.0,16.2,292.4,975.3,33.0,27.7800006866,1.0,0.0,197.346928371
0.0,8.0,2.0,12.0,1.0,16.3,292.0,980.3,29.7,27.7800006866,1.0,0.0,195.10243459
0.0,8.0,2.0,13.0,1.0,16.4,291.6,981.5,29.0,27.7800006866,1.0,0.0,190.874109825
0.0,8.0,2.0,14.0,1.0,16.5,291.1,983.4,27.6,27.7800006866,0.0,0.0,180.607825217
0.0,8.0,2.0,15.0,1.0,16.6,290.7,985.5,26.2,27.7800006866,0.0,0.0,180.778653774
0.0,8.0,2.0,16.0,1.0,16.7,290.3,985.2,26.4,27.7800006866,0.0,0.0,177.080652633
0.0,8.0,2.0,17.0,1.0,16.7,289.9,981.8,28.7,27.7800006866,0.0,0.0,169.660488817
0.0,8.0,2.0,18.0,1.0,16.7,289.5,979.7,30.1,27.7800006866,1.0,0.0,143.171910997
0.0,8.0,2.0,19.0,1.0,16.7,289.1,977.9,31.2,27.7800006866,1.0,0.0,115.777296704
0.0,8.0,2.0,20.0,1.0,16.7,288.8,976.5,32.1,27.7800006866,1.0,0.0,100.104670487
0.0,8.0,2.0,21.0,1.0,16.8,288.5,977.0,31.7,27.7800006866,1.0,0.0,82.1443870328
0.0,8.0,2.0,22.0,1.0,16.8,288.2,977.8,31.1,27.7800006866,1.0,0.0,86.7787347498
